teamID_seasonID,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed,giveaways,goalsFor,hits,losses,missedShots,otLosses,points,shootingPctg,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins
22_20112012,1239,0.4771,4573,2391,2182,82,996,207,1632,40,875,10,74,0.0946,2186,621,EDM,Edmonton Oilers,0,32
17_20112012,972,0.5158,4569,2212,2357,82,582,239,1612,28,997,6,102,0.0905,2638,526,DET,Detroit Red Wings,0,48
20_20112012,1158,0.4616,4804,2586,2218,82,814,199,1603,29,824,16,90,0.0881,2258,612,CGY,Calgary Flames,0,37
28_20112012,1327,0.5332,4857,2267,2590,82,811,219,1565,29,1081,10,96,0.0789,2773,639,SJS,San Jose Sharks,0,43
18_20112012,1213,0.4899,4886,2492,2394,82,658,232,1514,26,803,8,104,0.1026,2261,642,NSH,Nashville Predators,0,48
7_20112012,1075,0.4952,4735,2390,2345,82,689,211,1512,32,893,11,89,0.088,2397,516,BUF,Buffalo Sabres,0,39
16_20112012,1029,0.5054,4728,2338,2390,82,588,241,1500,26,922,11,101,0.0933,2583,775,CHI,Chicago Blackhawks,0,45
10_20122013,826,0.5005,2951,1474,1477,48,554,145,1626,17,547,5,57,0.1147,1264,329,TOR,Toronto Maple Leafs,0,26
26_20122013,511,0.5201,2826,1356,1470,48,426,131,1446,16,656,5,59,0.0915,1431,226,LAK,Los Angeles Kings,0,27
3_20122013,773,0.5,2820,1410,1410,48,334,126,1413,18,566,4,56,0.0849,1483,271,NYR,New York Rangers,0,26
52_20122013,713,0.4894,2746,1402,1344,48,378,126,1411,21,608,3,51,0.0907,1389,289,WPG,Winnipeg Jets,0,24
4_20122013,784,0.4853,2901,1493,1408,48,382,132,1316,22,521,3,49,0.0946,1394,255,PHI,Philadelphia Flyers,0,23
9_20122013,616,0.4915,2889,1469,1420,48,400,112,1307,17,598,6,56,0.0703,1591,312,OTT,Ottawa Senators,0,25
27_20122013,689,0.5201,2849,1367,1482,48,252,121,1260,18,602,9,51,0.0816,1482,302,PHX,Phoenix Coyotes,0,21
21_20122013,783,0.5107,2837,1388,1449,48,349,114,1241,25,508,7,39,0.0805,1415,405,COL,Colorado Avalanche,0,16
5_20122013,735,0.5146,2893,1404,1489,48,298,162,1229,12,547,0,72,0.1126,1438,227,PIT,Pittsburgh Penguins,0,36
6_20122013,650,0.5639,2846,1241,1605,48,402,127,1200,14,611,6,62,0.0815,1557,278,BOS,Boston Bruins,0,28
25_20122013,671,0.4716,2875,1519,1356,48,423,128,1199,22,579,4,48,0.1015,1261,327,DAL,Dallas Stars,0,22
29_20122013,627,0.5199,2802,1345,1457,48,214,115,1188,17,453,7,55,0.0896,1283,270,CBJ,Columbus Blue Jackets,0,24
