,teamID_seasonID,evGGARatio,faceOffWinPercentage,faceOffsLost,faceOffsTaken,faceOffsWon,gamesPlayed_x,goalsAgainstPerGame,goalsPerGame,losses_x,ot,penaltyKillPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,powerPlayPercentage,ptPctg,pts,savePctg,shootingPctg_x,shotsAllowed,shotsPerGame,winLeadFirstPer,winLeadSecondPer,winOppScoreFirst,winOutshootOpp,winOutshotByOpp,winScoreFirst,wins_x,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed_y,giveaways,goalsFor,hits,losses_y,missedShots,otLosses,points,shootingPctg_y,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins_y
352,20_20102011,1.0867,48.1,2531.0,4881.0,2350.0,82,2.805,2.939,29,12,81.2,62.0,53.0,318.0,19.5,57.3,94,0.902,9.6,28.5122,30.5,0.731,0.833,0.302,0.521,0.433,0.718,41,1209,0.4814,4881,2531,2350,82,805,241,1664,29,1047,12,94,0.0963,2501,578,CGY,Calgary Flames,0,41
353,20_20112012,0.8874,46.2,2586.0,4804.0,2218.0,82,2.646,2.427,29,16,84.3,46.0,42.0,260.0,17.7,54.9,90,0.914,8.8,30.8293,27.5366,0.692,0.844,0.293,0.478,0.426,0.61,37,1158,0.4616,4804,2586,2218,82,814,199,1603,29,824,16,90,0.0881,2258,612,CGY,Calgary Flames,0,37
354,20_20122013,0.6774,46.6,1605.0,3008.0,1403.0,48,3.271,2.667,25,4,81.5,31.0,28.0,155.0,20.0,43.8,42,0.889,9.9,29.4167,26.9375,0.688,0.8,0.174,0.294,0.483,0.6,19,699,0.4664,3008,1605,1403,48,418,128,935,25,518,4,42,0.0989,1293,342,CGY,Calgary Flames,0,19
355,20_20132014,0.7989,46.2,2619.0,4872.0,2253.0,82,2.902,2.463,40,7,81.7,39.0,43.0,249.0,15.7,47.0,77,0.899,9.2,28.5976,26.8171,0.75,0.786,0.245,0.324,0.535,0.697,35,1423,0.4624,4872,2619,2253,82,738,202,1708,40,925,7,77,0.0918,2199,575,CGY,Calgary Flames,0,35
356,20_20142015,1.0387,47.5,2692.0,5123.0,2431.0,82,2.598,2.89,30,7,80.7,48.0,36.0,255.0,18.8,59.1,97,0.911,10.5,29.1585,27.4634,0.889,0.923,0.435,0.455,0.591,0.694,45,1557,0.4745,5123,2692,2431,82,899,237,1782,30,890,7,97,0.1052,2252,814,CGY,Calgary Flames,0,45
357,20_20152016,0.8994,48.6,2550.0,4961.0,2411.0,82,3.134,2.793,40,7,75.5,46.0,57.0,270.0,17.0,47.0,77,0.892,9.5,28.9878,29.2439,0.692,0.839,0.222,0.514,0.364,0.587,35,1320,0.4859,4961,2550,2411,82,804,229,1700,40,896,7,77,0.0954,2398,573,CGY,Calgary Flames,0,35
358,20_20162017,0.9792,48.9,2538.0,4970.0,2432.0,82,2.671,2.707,33,4,81.6,52.0,51.0,257.0,20.2,57.3,94,0.907,9.3,28.7073,29.122,0.821,0.971,0.409,0.564,0.513,0.711,45,1111,0.4893,4970,2538,2432,82,805,222,1550,33,913,4,94,0.0929,2388,644,CGY,Calgary Flames,0,45
359,20_20172018,0.9304,49.4,2560.0,5056.0,2496.0,82,2.963,2.634,35,10,81.8,43.0,49.0,269.0,16.0,51.2,84,0.905,7.8,31.1463,33.6463,0.696,0.833,0.313,0.429,0.483,0.647,37,1100,0.4936,5056,2560,2496,82,824,216,1639,35,1232,10,84,0.0782,2759,679,CGY,Calgary Flames,0,37
360,20_20182019,1.2617,52.4,2265.0,4755.0,2490.0,82,2.72,3.524,25,7,79.7,53.0,50.0,275.0,19.3,65.2,107,0.903,10.9,28.0732,32.3902,0.875,0.969,0.341,0.571,0.68,0.878,50,1033,0.5236,4755,2265,2490,82,1189,289,1233,25,1037,7,107,0.1088,2656,845,CGY,Calgary Flames,0,50
361,21_19992000,1.1852,51.5,2596.0,5354.0,2758.0,82,2.451,2.841,28,1,84.4,59.0,52.0,302.0,19.5,58.5,96,0.912,10.6,27.8415,26.6829,0.75,0.857,0.306,0.6,0.476,0.674,42,963,0.5151,5354,2596,2758,82,852,233,1674,28,1004,1,96,0.1064,2188,929,COL,Colorado Avalanche,11,42
362,21_20002001,1.1852,51.3,2749.0,5649.0,2900.0,82,2.341,3.293,16,4,82.7,80.0,59.0,363.0,22.0,72.0,118,0.907,11.3,25.1098,29.2073,0.818,0.851,0.474,0.636,0.64,0.773,52,929,0.5133,5649,2749,2900,82,750,270,2161,16,1023,4,118,0.1127,2395,885,COL,Colorado Avalanche,10,52
363,21_20012002,1.1852,51.4,2636.0,5427.0,2791.0,82,2.061,2.585,28,1,86.9,62.0,41.0,344.0,18.0,60.4,99,0.922,9.4,26.5488,27.4634,0.76,0.971,0.409,0.476,0.658,0.711,45,1248,0.5142,5427,2636,2791,82,781,212,2325,28,996,1,99,0.0941,2252,816,COL,Colorado Avalanche,8,45
364,21_20022003,1.4907,47.9,2758.0,5295.0,2537.0,82,2.366,3.061,19,8,82.4,68.0,63.0,363.0,18.7,64.0,105,0.916,10.5,28.3293,29.0976,0.658,0.756,0.364,0.429,0.6,0.612,42,330,0.4791,5295,2758,2537,82,226,251,763,19,237,8,105,0.1051,2386,199,COL,Colorado Avalanche,13,42
